"MannschaftID";"Name";"Name_kurz";"WappenURL";"WappenURLklein";"SpielortID";"Heimspiel_Tag";"Heimspiel_Uhrzeit";"Kommentar";"Website";"Inaktiv";"Inaktiv_seit";"Facebook";"Trikotfarben";"Gruendungsdatum";"HLWSeit"
"1";"Dritte III";"DIII";"img/wappen_dritte.png";"img/wappen_dritte_tabelle.png";"22";"Freitags";"20:15 Uhr";;;"0";;;"Blau/Blau";;"2011"
"2";"HFC Heine '97";"HFC";"img/wappen_heine.png";"img/wappen_heine_tabelle.png";"2";"Mittwochs";"19:15 Uhr";"H(ochschul) F(ussball) C(lub) Heine '97<br /><br />Erfolge außerhalb der HLW:<br/>Bunteliga D:<br/>Pokalsieger 2002 & 2004<br/>F.I. Süd:<br />Meister 1998 & 1999,<br/> Pokalsieger 1998";;"0";;;"Rot/Weiß (Ausweich: Dunkelblau)";"24.10.1997";"2004"
"3";"Bierfreunde Mett";"BM";"img/wappen_bierfreunde.png";"img/wappen_bierfreunde_tabelle.png";"3";"Montags";"19:15 Uhr";"Abmeldung aus dem laufenden Spielbetrieb in der Saison 2015.";"http://unserteam.de/teams/show/278";"1";"2015";"https://www.facebook.com/pages/Bierfreunde-Mett/128905943822901?ref=pb";"Rot/Blau (Ausweich: Grün/Weiß)";"14.12.2005";"2010"
"4";"Schwarz-Weiß Bilk '79";"SWB";"img/wappen_swb.png";"img/wappen_swb_tabelle.png";"4";"Freitags";"20:15 Uhr";;"http://www.swbilk79.de/";"0";;"https://www.facebook.com/pages/Schwarz-Weiss-Bilk-79/175477382466028";"Schwarz/Weiß";"25.11.1979";"1999"
"5";"Dynamo Unterbach";"DU";"img/wappen_dynamo.png";"img/wappen_dynamo_tabelle.png";"5";"Mittwochs";"20:00 Uhr";"Meldete sich Ende 2013 während der Saison vom Spielbetrieb ab.";"http://www.dynamo-unterbach.de/";"1";"2013";;"Rot/Schwarz";;"2008"
"6";"SG United Ratingen 05";"SGU";"img/wappen_ratingen.png";"img/wappen_ratingen_tabelle.png";"6";"Montags";"19:30 Uhr";;"http://www.united-ratingen-05.de/";"0";;"https://www.facebook.com/pages/United-Ratingen-05/110745998959560?ref=pb";"Trikot rot, Hose schwarz, Stutzen rot (Ausweich: Blau)";;"2011 (2008)"
"7";"Harbour Pirates FC";"HP";"img/wappen_harbour.png";"img/wappen_harbour_tabelle.png";"7";"Montags";"20:00 Uhr";"Die Pirates haben sich Anfang 2016 mangels Spielern aus der HLW zurückgezogen.";;"1";"2016";"http://de-de.facebook.com/pages/Harbour-Pirates-FC/134015799980388";"Weiß/Rot";;"2010"
"8";"FC Lot jonn";"LJ";"img/wappen_lotjonn.png";"img/wappen_lotjonn_tabelle.png";"20";"Montags";"19:30 Uhr";;"http://www.lotjonn.com/";"0";;;"Schwarz/Orange";;"2009"
"9";"Hammer SV '99";"HSV";"img/wappen_hammersv.png";"img/wappen_hammersv_tabelle.png";"4";"Freitags";"20:00 Uhr";"ehemal. SG Bruderhaus von 1996-1998";;"0";;;"Neon-Grün/Weiß (Ausweich: Weiß/Blau)";;"1999"
"10";"Altbier Rangers";"AR";"img/wappen_altbier.png";"img/wappen_altbier_tabelle.png";"3";"Montags";"19:15 Uhr";;"http://www.altbier-rangers.de/";"1";"2015";"https://www.facebook.com/AltbierRangers";"Winter: Schwarz/Schwarz <br/>Sommer: Orange/Schwarz";;"2011"
"11";"Kaiserkicker";"KK";"img/wappen_kaiserkicker.png";"img/wappen_kaiserkicker_tabelle.png";"8";"Freitags";"20:30 Uhr";;"http://www.kaiserkicker.de/";"1";"2014";;"Weiß/Rot (Ausweich: Rot/Weiß)";"21.06.1986";"1996"
"12";"United '08";"U08";"img/wappen_united.png";"img/wappen_united_tabelle.png";"16";"Mittwochs";"21:00 Uhr";;;"0";;;"Rot/Schwarz (Ausweich: Weiß/Blau)";"11.11.2007";"2008"
"13";"Team Postwirtschaft";"TP";"img/wappen_post.png";"img/wappen_post_tabelle.png";"9";"Samstags";"16:00 Uhr";"2011 zog sich Team Postwirtschaft während der Saison zurück. Alle Spiele der Saison wurden annulliert. <br/>2012 wagte die Mannschaft einen neuen Versuch in Liga 2.<br/>2013 nimmt Team Postwirtschaft nicht mehr am Spielbetrieb teil.";"http://www.teampostwirtschaft.de/";"1";"2012";;"Blau/Orange";;"2012 (2011-2005)"
"14";"Buga United";"BU";"img/wappen_buga.png";"img/wappen_buga_tabelle.png";"22";"Freitags";"20:15 Uhr";"Haben sich zum 01.08.2017 mit sofortiger Wirkung aus dem Spielbetrieb der HLW zurückgezogen.";"http://buga-united.de/";"1";"2017";;"Schwarz/Weiß (Ausweich: Rot)";"2002";"2010"
