id;fixture_id;player_id;color;ban_matches;ban_reduced_by;ban_season;ban_lifetime;ban_reason;note;created_at;updated_at
;634;414;red;3;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;636;435;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;633;436;red;4;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;635;358;red;2;NULL;0;0;TÃ¤tlichkeit;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;635;283;yellow-red;1;NULL;0;0;Schiedsrichterbeleidigung;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;474;431;red;2;NULL;0;0;Schiedsrichterbeleidigung;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;630;281;red;2;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;630;369;red;2;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;482;438;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;480;439;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;480;105;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;573;259;red;3;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;590;314;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;578;318;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;450;158;red;4;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;455;324;red;3;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;448;286;red;5;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;567;440;red;3;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;436;181;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;424;172;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;468;92;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;423;83;red;2;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;425;131;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;546;364;red;3;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;543;410;red;3;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;379;11;red;3;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;426;38;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;419;79;red;5;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;419;298;red;4;NULL;0;0;Notbremse;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;400;58;red;2;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;400;442;yellow-red;1;NULL;0;0;Spielerbeleidigung;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;528;283;yellow-red;1;NULL;0;0;Versuchte TÃ¤tlichkeit;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;402;157;red;5;NULL;0;0;Spielerbeleidigung;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;521;360;red;3;NULL;0;0;Beleidigung und anschlieÃŸende TÃ¤tlichkeit;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;519;262;red;4;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;519;246;red;NULL;NULL;1;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;390;92;red;6;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;390;173;red;5;NULL;0;0;TÃ¤tlichkeit;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;524;122;yellow-red;1;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;197;443;red;3;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;352;348;red;5;NULL;0;0;Spielerbeleidigung;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;300;346;red;5;NULL;0;0;NULL;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
;282;23;red;3;NULL;0;0;Schiedsrichterbeleidigung;NULL;2017-12-19 23:57:16;2017-12-19 23:57:16
