id;name;name_short;name_code;logo_url;cover_url;founded;league_entry;league_exit;colours_club_primary;colours_club_secondary;colours_kit_home_primary;colours_kit_home_secondary;colours_kit_away_primary;colours_kit_away_secondary;website;facebook;note;is_real_club;published
1;Dritte III;Dritte;DIII;;;;2011-01-01;;;;;;;;;;;;1
2;HFC Heine '97;Heine;HFC;;;1997-10-24;2004-01-01;;;;;;;;;;H(ochschul) F(ussball) C(lub) Heine '97<br /><br />Erfolge außerhalb der HLW:<br/>Bunteliga D:<br/>Pokalsieger 2002 & 2004<br/>F.I. Süd:<br />Meister 1998 & 1999,<br/> Pokalsieger 1998;;1
3;Bierfreunde Mett;Bierfreunde;BM;;;2005-12-14;2010-01-01;2015-12-31;;;;;;;http://unserteam.de/teams/show/278;https://www.facebook.com/pages/Bierfreunde-Mett/128905943822901?ref=pb;Abmeldung aus dem laufenden Spielbetrieb in der Saison 2015.;;1
4;Schwarz-Weiß Bilk '79;WzWeiß Bilk ';SWB;;;1979-11-25;1999-01-01;;;;;;;;http://www.swbilk79.de/;https://www.facebook.com/pages/Schwarz-Weiss-Bilk-79/175477382466028;;;1
5;Dynamo Unterbach;D nterbach;DU;;;;2008-01-01;2013-12-31;;;;;;;http://www.dynamo-unterbach.de/;;Meldete sich Ende 2013 wÃ¤hrend der Saison vom Spielbetrieb ab.;;1
6;SG United Ratingen 05;Utd Ratingen;SGU;;;;2011-01-01;;;;;;;;http://www.united-ratingen-05.de/;https://www.facebook.com/pages/United-Ratingen-05/110745998959560?ref=pb;;;1
7;Harbour Pirates FC;Pirates;HP;;;;2010-01-01;2016-12-31;;;;;;;;http://de-de.facebook.com/pages/Harbour-Pirates-FC/134015799980388;Die Pirates haben sich Anfang 2016 mangels Spielern aus der HLW zurückgezogen.;;1
8;FC Lot jonn;Lot jonn;LJ;;;;2009-01-01;;;;;;;;http://www.lotjonn.com/;;;;1
9;Hammer SV '99;Hamm;HSV;;;;1999-01-01;;;;;;;;;;ehemal. SG Bruderhaus von 1996-1998;;1
10;Altbier Rangers;Rangers;AR;;;;2011-01-01;2015-12-31;;;;;;;http://www.altbier-rangers.de/;https://www.facebook.com/AltbierRangers;;;1
11;Kaiserkicker;Kaiserkicker;KK;;;1986-06-21;1996-01-01;2014-12-31;;;;;;;http://www.kaiserkicker.de/;;;;1
12;United '08;United;U08;;;2007-11-11;2008-01-01;;;;;;;;;;;;1
13;Team Postwirtschaft;Post;TP;;;;2005-01-01;2012-12-31;;;;;;;http://www.teampostwirtschaft.de/;;2011 zog sich Team Postwirtschaft wÃ¤hrend der Saison zurück. Alle Spiele der Saison wurden annulliert. <br/>2012 wagte die Mannschaft einen neuen Versuch in Liga 2.<br/>2013 nimmt Team Postwirtschaft nicht mehr am Spielbetrieb teil.;;1
14;Buga United;Buga;BU;;;2002-01-01;2010-01-01;2017-12-31;;;;;;;http://buga-united.de/;;Haben sich zum 01.08.2017 mit sofortiger Wirkung aus dem Spielbetrieb der HLW zurückgezogen.;;1
15;Rakete Rheinpark 04;Rakete;RR;;;;2012-01-01;;;;;;;;http://www.rakete04.de/;https://www.facebook.com/pages/Rakete-Rheinpark-04/258035732443?ref=pb;;;1
16;Cosmos Düssel '77;Cosmos;CD77;;;;1995-01-01;;;;;;;;http://www.cosmos77.de/;https://www.facebook.com/pages/Cosmos-D%C3%BCssel-77-D%C3%BCsseldorf/123063004385584;;;1
18;Ice Devils Duisburg;Devils;ID;;;;2012-01-01;;;;;;;;http://www.ice-devils-duisburg.de.tl/;;;;1
19;Hong Kong Stars;HK Stars;HKS;;;;2012-01-01;2015-12-31;;;;;;;;https://www.facebook.com/pages/HONG-KONG-STARS/119373727309;Die Hong Kong Stars wurden zum 25.11.15 aus dem Spielbetrieb der HLW ausgeschlossen.;;1
20;SG Garather Füchse '83;Füchse;GF;;;1983-01-01;2012-01-01;2014-12-31;;;;;;;;;;;1
21;FC Kneipe;Kneipe;FCK;;;;1996-01-01;2005-12-31;;;;;;;;;;;1
22;Fränki's Team;Fränki's;FT;;;;1996-01-01;2003-12-31;;;;;;;;;;;1
23;HSC Stockum;Stockum;HSC;;;;1998-01-01;2007-12-31;;;;;;;;;Hat sich 2007 nach der Hinrunde aufgrund von Spielermangel abgemeldet.;;1
24;FC Manuele;Manuele;FCM;;;;1996-01-01;1997-12-31;;;;;;;;;;;1
25;FC Düsseldorf 2010;FCD;FCD;;;;;;;;;;;;http://fcduesseldorf.blog.de/;https://www.facebook.com/group.php?gid=108432365856065&v=info;Spielte als Gastmannschaft in der Pokalrunde 2011 mit.;;1
26;FC International;International;FCI;;;2002-01-01;2005-01-01;2006-12-31;;;;;;;http://kanakistanfootballclub.de/;;ehemals Kanakistan FC;;1
27;Nicht bekannt;Nicht bekannt;NB;;;;;;;;;;;;;;;;1
28;Widex Peters;Widex;WP;;;;1995-01-01;2000-12-31;;;;;;;;;;;1
29;Bilker Galerie;Galerie;BG;;;;1995-01-01;2010-12-31;;;;;;;;https://www.facebook.com/pages/Bilker-Galerie/123190067732896;Zog sich Ende 2011 aufgrund von Spielermangel aus der HLW züruck.;;1
30;Wild Boys '06;Boys;WB06;;;2006-01-01;2007-01-01;2009-12-31;;;;;;;;;;;1
31;Schüssler United;Schüssler;SUTD;;;;2007-01-01;2007-12-31;;;;;;;;;;;1
32;1. FC Klähr;Klähr;1FCK;;;;2006-01-01;2007-12-31;;;;;;;;;Hat sich 2007 nach der Hinrunde aufgrund von Spielermangel abgemeldet.;;1
33;VfB Hasseler Stuben;Stuben;VFBHS;;;;2006-01-01;2007-12-31;;;;;;;;;Hat sich 2007 nach der Hinrunde aufgrund von Spielermangel abgemeldet.;;1
