id;club_id;person_id;sign_on;sign_off;number;position_id;public;created_at;updated_at
1;4;1;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
2;4;2;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
3;2;3;2011-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
4;2;4;2014-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
5;2;5;2012-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
6;1;6;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
7;1;7;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
8;1;8;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
9;1;9;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
10;14;10;2013-09-04;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
11;14;11;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
12;12;12;2014-01-01;2014-12-31;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
29;4;29;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
32;12;32;2013-01-01;2013-12-31;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
34;12;34;2014-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
35;12;35;2014-01-01;2014-12-31;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
36;2;36;2014-01-01;2014-12-31;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
37;2;37;2014-01-01;2014-12-31;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
38;14;38;2013-01-01;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
39;14;39;2017-03-24;NULL;NULL;NULL;1;2017-12-09 22:39:31;2017-12-09 22:39:31
