club_id;season_id;rank;deduction_points;deduction_goals;withdrawal;note;created_at;updated_at
1;1;9;6;NULL;NULL;6 Punkte Abzug, Satzung 9.3 - 2 Spielabsagen;2017-12-02 18:24:41;2017-12-02 18:24:41
2;1;2;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
3;1;10;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
4;1;5;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
5;1;6;6;NULL;NULL;6 Punkte Abzug, Satzung 9.3 - 2 Spielabsagen;2017-12-02 18:24:41;2017-12-02 18:24:41
6;1;11;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
7;1;1;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
8;1;3;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
9;1;8;6;NULL;NULL;6 Punkte Abzug, Satzung 2.2 & 2.4;2017-12-02 18:24:41;2017-12-02 18:24:41
10;1;12;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
12;1;4;6;NULL;NULL;6 Punkte Abzug, Satzung 2.2 & 2.4;2017-12-02 18:24:41;2017-12-02 18:24:41
14;1;7;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
11;2;6;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
13;2;8;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
15;2;5;2;NULL;NULL;2 Punkte Abzug, Satzung 9.3 - 1 Spielabsage;2017-12-02 18:24:41;2017-12-02 18:24:41
16;2;4;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
19;2;7;6;NULL;NULL;6 Punkte Abzug, Satzung 2.4;2017-12-02 18:24:41;2017-12-02 18:24:41
20;2;1;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
44;2;2;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
45;2;3;2;NULL;NULL;2 Punkte Abzug, Satzung 9.3 - 1 Spielabsage;2017-12-02 18:24:41;2017-12-02 18:24:41
1;3;4;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
2;3;2;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
3;3;10;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
4;3;7;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
5;3;5;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
6;3;9;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
7;3;1;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
8;3;8;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
9;3;6;2;5;NULL;2 Punkte und 5 Tore Abzug, Satzung: 9.3;2017-12-02 18:24:41;2017-12-02 18:24:41
10;3;13;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
11;3;11;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
12;3;3;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
13;3;14;NULL;NULL;2011-06-30;Team Postwirtschaft hat sich 2011 vom Spielbetrieb abgemeldet. Alle Spiele wurden annulliert.;2017-12-02 18:24:41;2017-12-02 18:24:41
14;3;12;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
2;4;1;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
3;4;4;NULL;NULL;NULL;NULL;2017-12-02 18:24:41;2017-12-02 18:24:41
