id;matchweek_id;datetime;stadium_id;club_id_home;club_id_away;goals_home;goals_away;goals_home_11m;goals_away_11m;goals_home_rated;goals_away_rated;rated_note;cancelled;note;published;rescheduled_from_fixture_id;rescheduled_by_club;reschedule_reason;reschedule_count
2613;382;;6;75;70;;;;;2;0;;1;;1;;;;0
2614;382;2017-03-06 20:00:00;1;53;14;1;5;;;;;;1;;1;;;;0
2615;382;2017-03-06 20:00:00;33;74;67;7;5;;;;;;0;;1;;;;0
2617;382;2017-04-13 21:00:00;4;46;69;3;1;;;;;;0;;1;;;;0
2618;382;2017-04-29 17:00:00;32;73;76;2;0;;;;;;0;;1;;;;0
2619;383;2017-04-21 19:30:00;34;69;72;3;2;;;;;;0;;1;;;;0
2620;383;2017-04-24 19:30:00;19;70;53;;;;;2;0;;0;;1;;;;0
2621;383;2017-03-13 20:00:00;33;74;46;2;2;;;;;;0;;1;;;;0
2623;383;2017-03-17 20:15:00;22;14;67;1;1;;;;;;1;;1;;;;0
2624;383;2017-03-13 20:00:00;14;76;75;2;2;;;;;;1;;1;;;;0
2626;384;2017-03-20 20:00:00;1;53;76;1;2;;;;;;0;;1;;;;0
2627;384;2017-04-10 20:00:00;33;74;14;0;9;;;;;;1;;1;;;;0
2628;384;2017-03-20 20:45:00;18;72;46;3;3;;;;;;0;;1;;;;0
2629;384;2017-03-25 17:00:00;31;67;70;3;1;;;;;;0;;1;;;;0
2630;384;2017-03-25 17:00:00;32;73;69;4;0;;;;;;0;;1;;;;0
2631;385;2017-03-31 19:30:00;34;69;75;12;1;;;;;;1;;1;;;;0
2632;385;2017-03-27 19:30:00;19;70;14;1;4;;;;;;1;;1;;;;0
2633;385;2017-03-27 20:45:00;18;72;74;4;2;;;;;;0;;1;;;;0
2635;385;2017-03-30 21:00:00;4;46;73;2;3;;;;;;0;;1;;;;0
2636;385;2017-03-27 20:00:00;14;76;67;0;2;;;;;;0;;1;;;;0
2637;386;2017-04-03 19:30:00;6;75;46;4;2;;;;;;1;;1;;;;0
2638;386;2017-04-03 20:00:00;1;53;69;0;4;;;;;;0;;1;;;;0
