id;season_id;number_consecutive;name;begin;end;published;created_at;updated_at
1;3;1;;21.02.2011;26.02.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
2;3;2;;28.02.2011;05.03.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
3;3;3;;14.03.2011;19.03.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
4;3;4;;21.03.2011;26.03.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
5;3;5;;28.03.2011;02.04.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
6;3;6;;04.04.2011;09.04.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
7;3;7;;02.05.2011;07.05.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
8;3;8;;09.05.2011;14.05.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
9;3;9;;16.05.2011;21.05.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
10;3;10;;23.05.2011;28.05.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
11;3;11;;30.05.2011;04.06.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
12;3;12;;06.06.2011;11.06.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
13;3;13;;13.06.2011;18.06.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
14;3;14;;27.06.2011;02.07.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
15;3;15;;04.07.2011;09.07.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
16;3;16;;11.07.2011;16.07.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
17;3;17;;18.07.2011;23.07.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
18;3;18;;25.07.2011;30.07.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
19;3;19;;05.09.2011;10.09.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
20;3;20;;12.09.2011;17.09.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
21;3;21;;26.09.2011;01.10.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
22;3;22;;10.10.2011;15.10.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
23;3;23;;17.10.2011;22.10.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
24;3;24;;24.10.2011;29.10.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
25;3;25;;07.11.2011;12.11.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
26;3;26;;14.11.2011;19.11.2011;1;2017-11-03 17:23:08;2017-11-03 17:23:08
27;1;1;;13.02.2012;18.02.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
28;1;2;;27.02.2012;03.03.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
29;1;23;Playoff;12.11.2012;21.11.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
30;1;24;Finale;23.11.2012;;1;2017-11-03 17:23:08;2017-11-03 17:23:08
31;1;3;;05.03.2012;10.03.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
32;1;4;;12.03.2012;17.03.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
33;1;5;;19.03.2012;24.03.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
34;1;6;;26.03.2012;31.03.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
35;1;7;;16.04.2012;21.04.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
36;1;8;;23.04.2012;28.04.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
37;1;9;;30.04.2012;05.05.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
38;1;10;;07.05.2012;12.05.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
39;1;11;;21.05.2012;26.05.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
40;1;12;;29.05.2012;02.06.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
41;1;13;;02.07.2012;07.07.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
42;1;14;;20.08.2012;25.08.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
43;1;15;;27.08.2012;01.09.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
44;1;16;;03.09.2012;08.09.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
45;1;17;;10.09.2012;15.09.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
46;1;18;;17.09.2012;22.09.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
47;1;19;;24.09.2012;29.09.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
48;1;20;;08.10.2012;13.10.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
49;1;21;;22.10.2012;27.10.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
50;1;22;;05.11.2012;10.11.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
51;2;1;;27.02.2012;03.03.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
52;2;2;;12.03.2012;17.03.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
53;2;3;;26.03.2012;31.03.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
54;2;4;;16.04.2012;21.04.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
55;2;5;;23.04.2012;28.04.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
56;2;6;;07.05.2012;12.05.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
57;2;7;;21.05.2012;26.05.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
58;2;8;;02.07.2012;07.07.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
59;2;9;;27.08.2012;01.09.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
60;2;10;;10.09.2012;15.09.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
61;2;11;;24.09.2012;29.09.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
62;2;12;;22.10.2012;27.10.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
63;2;13;;05.11.2012;10.11.2012;1;2017-11-03 17:23:08;2017-11-03 17:23:08
