id;division_id;begin;end;season_nr;champion;ranks_champion;ranks_promotion;ranks_relegation;playoff_champion;playoff_cup;playoff_relegation;max_rescheduling;rules;note;published;created_at;updated_at
19;1;1995-01-01;1995-12-31;1;24;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
18;1;1996-01-01;1996-12-31;2;24;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
17;1;1997-01-01;1997-12-31;3;21;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
16;1;1998-01-01;1998-12-31;4;23;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
15;1;1999-01-01;1999-12-31;5;23;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
14;1;2000-01-01;2000-12-31;6;23;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
13;1;2001-01-01;2001-12-31;7;23;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
12;1;2002-01-01;2002-12-31;8;22;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
11;1;2003-01-01;2003-12-31;9;21;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
10;1;2004-01-01;2004-12-31;10;2;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
9;1;2005-01-01;2005-12-31;11;2;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
8;1;2006-01-01;2006-12-31;12;2;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
7;1;2007-01-01;2007-12-31;13;2;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
6;1;2008-01-01;2008-12-31;14;2;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
5;1;2009-01-01;2009-12-31;15;2;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
4;1;2010-01-01;2010-12-31;16;7;NULL;NULL;NULL;1,2,3,4;5,6,7,8;NULL;0;Die Plätze 1-4 tragen ein Play-off um die Meisterschaft aus. Die Plätze 5-8 nehmen am Pokal teil.;NULL;1;;
3;1;2011-01-01;2011-12-31;17;7;1;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1;;
1;1;2012-01-01;2012-12-31;18;7;NULL;NULL;11,12;1,2,3,4;5,6,7,8;NULL;0;Die Plätze 1-4 tragen ein Play-off um die Meisterschaft aus. Die Plätze 5-8 nehmen am Pokal teil. Die Plätze 11 und 12 steigen in die 2. Liga ab.;NULL;1;;
20;1;2013-01-01;2013-12-31;19;7;1;NULL;11,12;NULL;NULL;10;0;Die Plätze 11 und 12 steigen in die 2. Liga ab. Platz 10 Relegation gegen Platz 3 der 2. Liga.;NULL;1;;
22;1;2014-01-01;2014-12-31;20;2;1;NULL;11,12;NULL;NULL;NULL;0;Die Plätze 11 und 12 steigen in die 2. Liga ab. Der Hammer SV '99 verbleibt jedoch in Liga 1, da die Hong Kong Stars auf den Aufstieg verzichten. Aufgrund der Abmeldung der Garather Füchse entfällt das Relegationsspiel.;NULL;1;;
25;1;2015-01-01;2015-12-31;21;2;1;NULL;11,12;NULL;NULL;10;0;Die Plätze 11 und 12 steigen direkt in die 2. Liga ab. Platz 10 spielt ein Relegationsspiel gegen Platz 3 der 2. Liga.;NULL;1;;
38;1;2016-01-01;2016-12-31;22;47;1;NULL;9,10;NULL;NULL;NULL;0;Platz 9 und 10 steigen direkt in die 2. Liga ab.;NULL;1;;
41;1;2017-01-01;2017-12-31;23;NULL;1;NULL;11,12;NULL;NULL;10;2;NULL;NULL;1;;
